disease,drug,description
Counter-irritant,Pipli,Employed as a counter-irritant.
Leprosy,Pipli,Used traditionally for leprosy treatment.
Antihelmintic,"Bakuchi, Kushthanashini",Used for expelling or destroying intestinal worms.
diarrhea,lime juice,Helps balance stomach pH and combat pathogens.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
Haematinic,Pipli,Employed for its effects on blood formation.
diarrhea,tribhuvan kirti rasa,Controls diarrhea and improves digestion.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
gastritis,lavanaabhaskara churna,Soothes gastric irritation and improves digestion.
gastritis,gandharvahastadi kashaya,Soothes acidity and improves digestion.
Antifungal,Chandan,Used traditionally as an antifungal agent.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
Antidysenteric,"Manjistha, Kala-meshika",Used traditionally for dysentery relief.
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
Depurative properties,Mulaka,Utilized for its depurative or purifying properties.
Asthma,Pipli,Employed traditionally for managing asthma symptoms.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
migraine,shankh-vati,Reduces migraine frequency and severity.
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
gastritis,phadke, Provides relief from gastritis symptoms like bloating and discomfort.
Dyspepsia,Bark,Used for indigestion or dyspepsia.
anthelmintic,Kirata-tikta,"Kirata-tikta has anthelmintic properties, helping to expel intestinal worms and parasites."
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
Leprosy,Pipli,Used traditionally for leprosy treatment.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
constipation,Holarrhena antidysenterica (bark) 10% Plumbago ovata (husk) 20% Terminalia bellerica (fruits) 10% T. chebula (fruits) 15% Phyllanthus emblica (fruits) 15% Cassia angustifolia (leaves) 20% Glycyrrhiza glabra (roots) 10%,this combination is help you to relief from constipation
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
diarrhea,kutaja,Reduces intestinal inflammation and diarrhea.
Appetizer,Mulaka,Employed as an appetizer.
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
Biliousness,Bark,Addressing biliousness or excess bile secretion.
migraine,shankh-vati,Reduces migraine frequency and severity.
Dyspepsia,Bark,Used for indigestion or dyspepsia.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
sugars,Draksha,"Draksha contains natural sugars, providing a source of energy and sweetness."
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
stimulant,Jaiphal,Utilized as a stimulant
aphrodisiac,Jaiphal,Utilized traditionally as an aphrodisiac
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
Diuretic,"Bakuchi, Kushthanashini",Employed for its diuretic effects.
Skin protective,Chandan,Utilized for its skin-protective properties.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
Appetizer,Mulaka,Employed as an appetizer.
Antibacterial,Anar,Employed for its antibacterial properties.
Rejuvenating,"Manjistha, Kala-meshika",Employed for rejuvenation purposes.
migraine,fenugreek,Helps in relieving migraine symptoms.
gastritis,sankha vati,Soothes gastric irritation and improves digestion.
Antibacterial,Anar,Employed for its antibacterial properties.
Depurative properties,Mulaka,Utilized for its depurative or purifying properties.
Galactogogue,Bilai kand,Employed to promote lactation.
carminative,"Methika, Chandrika","Methika and Chandrika are carminative, helping to relieve gas and bloating."
arthritis,shud laksha,Reduces joint pain and inflammation in arthritis.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
gastritis,hingwastaka churna,Relieves gastritis symptoms like bloating and acidity.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
arthritis,kamdhudha ras,Provides relief from arthritis pain and inflammation.
Diuretic,Bilai kand,Used for its diuretic effects.
migraine,fenugreek,Helps in relieving migraine symptoms.
 diuretic,Draksha,"Draksha has diuretic properties, promoting urine production and helping to flush out toxins from the body."
vermifuge,Jaiphal, Employed for expelling intestinal worms.
Galactogogue,Bilai kand,Employed to promote lactation.
migraine,ginger,Alleviates nausea and vomiting during migraines.
antiulcer,"Karaskara, Chipita",Karaskara and Chipita help in reducing ulcer formation and promoting healing of gastric ulcers.
stimulant,Jaiphal,Utilized as a stimulant
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
Aphrodisiac,"Bakuchi, Kushthanashini",Employed traditionally as an aphrodisiac.
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
diuretic,Prasarani, Used for its diuretic effects.
Rejuvenating,"Manjistha, Kala-meshika",Employed for rejuvenation purposes.
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
Astringent tonic,"Gandhini, Pitamulika",Employed as an astringent tonic.
diuretic,Prasarani, Used for its diuretic effects.
arthritis,ricinus communis,Reduces joint pain and inflammation.
Headache,Mulaka,Used traditionally for headache relief.
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
Counter-irritant,Pipli,Employed as a counter-irritant.
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
Colic,Bark,Used for the relief of colic pain.
gastritis,citrakadhi vati,Reduces acidity and promotes healing of the stomach lining.
Stimulant,"Gandhini, Pitamulika",Utilized for its stimulating effects.
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
Dysentery,Anar,Employed for its effects on dysentery.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
Counter-irritant,Pipli,Employed as a counter-irritant.
vermifuge,Jaiphal, Employed for expelling intestinal worms.
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
Bioavailability enhancer,Pipli,Used for enhancing bioavailability of other substances.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
gastritis,laxative,Alleviates constipation and discomfort.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
constipation,Holarrhena antidysenterica (bark) 10% Plumbago ovata (husk) 20% Terminalia bellerica (fruits) 10% T. chebula (fruits) 15% Phyllanthus emblica (fruits) 15% Cassia angustifolia (leaves) 20% Glycyrrhiza glabra (roots) 10%,this combination is help you to relief from constipation
febrifugal,Kirata-tikta,Kirata-tikta aids in reducing fever and promoting recovery from infections.
gastritis,lavanaabhaskara churna,Soothes gastric irritation and improves digestion.
Anthelmintic,Madana,Employed for expelling intestinal worms.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
arthritis,kamdhudha ras,Provides relief from arthritis pain and inflammation.
vermifuge,Sharapunkha,"Sharapunkha acts as a vermifuge, helping to expel intestinal worms and parasites."
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
Abortifacient,Madana,Used traditionally for inducing abortion.
Purgative,"Gandhini, Pitamulika",Used as a purgative agent.
boils,Sharapunkha,"Sharapunkha helps in treating boils, promoting healing and reducing inflammation."
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
Anthelmintic,Madana,Employed for expelling intestinal worms.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
astringent,Prasarani,Employed for its astringent properties.
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
constipation,Holarrhena antidysenterica (bark) 10% Plumbago ovata (husk) 20% Terminalia bellerica (fruits) 10% T. chebula (fruits) 15% Phyllanthus emblica (fruits) 15% Cassia angustifolia (leaves) 20% Glycyrrhiza glabra (roots) 10%,this combination is help you to relief from constipation
hypocholesterolemic,Arjuna,"Arjuna has hypocholesterolemic properties, helping to lower cholesterol levels in the blood."
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
migraine,Jatamansi + Shankhapushpi,Provides relief from migraine symptoms and frequency.
gastritis,ashta choornam,Soothes gastric irritation and promotes healing.
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
Counter-irritant,Pipli,Employed as a counter-irritant.
carminative,"Methika, Chandrika","Methika and Chandrika are carminative, helping to relieve gas and bloating."
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
Antioxidant,Draksha,"Draksha exhibits antioxidant properties, helping to combat oxidative stress and promote overall health."
Diarrhea,Mulaka,Used traditionally for diarrhea relief.
diarrhea,lime juice,Helps balance stomach pH and combat pathogens.
gastritis,citrakadhi vati,Reduces acidity and promotes healing of the stomach lining.
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
Antibacterial,Chandan,Employed for its antibacterial properties.
abdominal pain,Kakamachi,Kakamachi helps in relieving abdominal pain and discomfort.
diarrhea,bilwa,Helps in controlling loose motions.
gastritis,shivakshar pachan churna,Improves digestion and reduces acidity.
gastritis,shivakshar pachan churna,Improves digestion and reduces acidity.
Antiviral,Chandan,Employed traditionally as an antiviral agent.
vermifuge,Sharapunkha,"Sharapunkha acts as a vermifuge, helping to expel intestinal worms and parasites."
Counter-irritant,Pipli,Employed as a counter-irritant.
migraine,ashwagandha,Helps in managing stress-related migraines.
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
Astringent,Anar,Used traditionally for its astringent effects.
dyspepsia,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari aid in the management of dyspepsia, relieving indigestion and discomfort."
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
Rejuvenating,"Amrita, Guluchi, Jwarari","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
aperient,Bahera,"Bahera acts as an aperient, promoting gentle bowel movements and relieving constipation."
gastritis,phadke, Provides relief from gastritis symptoms like bloating and discomfort.
astringent,Prasarani,Employed for its astringent properties.
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
Antihelmintic,"Bakuchi, Kushthanashini",Used for expelling or destroying intestinal worms.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
pimples ,Sharapunkha,"Sharapunkha aids in treating pimples and acne, reducing inflammation and promoting clear skin."
piles,Prasarani,Utilized in traditional medicine for managing piles
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
diuretic,Prasarani, Used for its diuretic effects.
fever,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari help in reducing fever and promoting recovery from infections."
migraine,pathyadi guggulu,Reduces migraine symptoms and frequency.
Cardiotonic,Bilai kand,Utilized for its effects on the heart.
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
migraine,Vasant Kusumakar Ras,No description available
Sedative,Pipli,Employed for its sedative effects.
Stomach disorders,"Gandhini, Pitamulika",Used traditionally for various stomach disorders.
Emetic,Madana,Employed as an emetic agent.
laxative,Kirata-tikta,"Kirata-tikta acts as a laxative, promoting bowel movements and relieving constipation."
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
arthritis,boswellia curcumin,Reduces joint inflammation and improves mobility.
treat boils,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
 demulcent,Draksha,"Draksha acts as a demulcent, soothing and protecting mucous membranes in the body."
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
dyspepsia,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari aid in the management of dyspepsia, relieving indigestion and discomfort."
migraine,ashwagandha,Helps in managing stress-related migraines.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
Diuretic,Bilai kand,Used for its diuretic effects.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
Abortifacient,Madana,Used traditionally for inducing abortion.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
diarrhea,promegranate drink,Promotes digestion and reduces inflammation.
 stomachic ,Draksha,"Draksha is beneficial for the stomach, aiding in digestion and soothing gastrointestinal discomfort."
arthritis,giloy satya,"Has anti-inflammatory properties, beneficial for arthritis."
Antifungal,Chandan,Used traditionally as an antifungal agent.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
Astringent tonic,"Gandhini, Pitamulika",Employed as an astringent tonic.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
Leucoderma,"Bakuchi, Kushthanashini",Used traditionally for managing leucoderma.
vomiting,Laung, Laung helps in reducing vomiting and soothing the stomach.
Laxative,"Bakuchi, Kushthanashini",Used as a laxative agent.
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
Diarrhea,Anar,Used traditionally for diarrhea relief.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
Aphrodisiac,Bilai kand,Employed as an aphrodisiac.
diarrhea,tribhuvan kirti rasa,Controls diarrhea and improves digestion.
asthma,Sharapunkha,Sharapunkha aids in managing asthma symptoms and promoting respiratory health.
migraine,Shankha prakshalana,No description available
dyspepsia,"Amrita, Guluchi, Jwarari "," Amrita, Guluchi, and Jwarari aid in the management of dyspepsia, relieving indigestion and discomfort."
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
Expectorant,Madana,Utilized for its expectorant properties.
Antispasmodic,Madana,Employed for its antispasmodic properties.
Epilepsy,Pipli,Used traditionally for managing epilepsy.
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
constipation,Holarrhena antidysenterica (bark) 10% Plumbago ovata (husk) 20% Terminalia bellerica (fruits) 10% T. chebula (fruits) 15% Phyllanthus emblica (fruits) 15% Cassia angustifolia (leaves) 20% Glycyrrhiza glabra (roots) 10%,this combination is help you to relief from constipation
arthritis,ajwan water,Helps in reducing arthritis pain.
diarrhea,haritaki,Aids in digestion and reduces diarrhea symptoms.
arthritis,nirugandi leaves paste,Provides relief from arthritis symptoms.
Diuretic,"Gokshura, Ikshugancdha","Gokshura and Ikshugancdha have rejuvenating properties, promoting vitality and energy."
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
Depurative properties,Mulaka,Utilized for its depurative or purifying properties.
gastritis,hingwastaka churna,Relieves gastritis symptoms like bloating and acidity.
Leprosy,Pipli,Used traditionally for leprosy treatment.
Ulcers,Bark,"Addressing ulcers, typically gastric or peptic ulcers."
Dysentery,Anar,Employed for its effects on dysentery.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
arthritis,mukta pishti,Reduces joint pain and stiffness in arthritis.
arthritis,jahar mohra pishti,Helps in managing arthritis symptoms.
migraine,fenugreek,Helps in relieving migraine symptoms.
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
diarrhea,kutajarishta,Controls diarrhea and reduces intestinal inflammation.
Antiseptic,"Manjistha, Kala-meshika",Employed for its antiseptic properties.
Diarrhea,Anar,Used traditionally for diarrhea relief.
gastritis,laxative,Alleviates constipation and discomfort.
nausea,Laung,Laung helps in relieving nausea and vomiting.
diarrhea,promegranate drink,Promotes digestion and reduces inflammation.
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
tonic,Jaiphal,Employed as a tonic
Headache,Mulaka,Used traditionally for headache relief.
Astringent tonic,"Gandhini, Pitamulika",Employed as an astringent tonic.
migraine,Anu Taila + Shankhapushpi,Calms the nervous system and reduces migraine attacks.
 laxative,Draksha,"Draksha acts as a natural laxative, aiding in relieving constipation and promoting regular bowel movements."
Anthelmintic,Pipli,Used for expelling or destroying intestinal worms.
Dysentery,Bark,Employed traditionally to alleviate symptoms of dysentery.
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
gastritis,phadke, Provides relief from gastritis symptoms like bloating and discomfort.
diarrhea,sanjivani vati,Provides relief from diarrhea and associated symptoms.
Astringent,Anar,Used traditionally for its astringent effects.
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
Tonic,Anar,Utilized as a general tonic.
gastritis,ashta choornam,Soothes gastric irritation and promotes healing.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
arthritis,suhunjana beej,Provides relief from arthritis pain and stiffness.
Cough,Phyllanthus emblica (fruits) 25% Adhatoda vasica (leaves) 20% Ocimum sanctum (leaves) 10% Piper longum (fruits) 10% Zingiber officinale (roots) 10% Glycyrrhiza glabra (roots) 15% Solanum xanthocarpum (whole plant) 10%,this combination is help you to relief from cough
Refrigerant,Bilai kand,Used traditionally for its refrigerant properties.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
gastritis,hingvastak churna,Reduces gastritis symptoms like bloating and acidity.
astringent,Prasarani,Employed for its astringent properties.
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
Anthelmintic,Madana,Employed for expelling intestinal worms.
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
Rejuvenating,"Manjistha, Kala-meshika",Employed for rejuvenation purposes.
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
Leprosy,"Bakuchi, Kushthanashini",Employed in traditional medicine for leprosy treatment.
diarrhea,tribhuvan kirti rasa,Controls diarrhea and improves digestion.
Counter-irritant,Pipli,Employed as a counter-irritant.
migraine,ashwagandha,Helps in managing stress-related migraines.
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
migraine,Shankha prakshalana,No description available
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
vermifuge,Sharapunkha,"Sharapunkha acts as a vermifuge, helping to expel intestinal worms and parasites."
inflammation of spleen,Prasarani,mployed traditionally for inflammation of the spleen.
gastritis,ajamodarka,Aids in digestion and reduces gastritis symptoms.
arthritis,dashmool powder with water,Provides relief from joint pain and inflammation.
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
laxative,Kakamachi,"Kakamachi acts as a laxative, promoting bowel movements and relieving constipation."
Psoriasis,"Bakuchi, Kushthanashini",Used traditionally for managing psoriasis.
bronchitis,Sharapunkha,"Sharapunkha is beneficial for bronchitis, helping to reduce inflammation and promote healing."
arthritis,shud laksha,Reduces joint pain and inflammation in arthritis.
abscesses,"Methika, Chandrika","Methika and Chandrika help in the treatment of abscesses, promoting healing and reducing inflammation."
nausea,Laung,Laung helps in relieving nausea and vomiting.
gastritis,phadke, Provides relief from gastritis symptoms like bloating and discomfort.
migraine,drakshasava,Helps in managing migraine attacks.
anti-diarrheal,Kirata-tikta,"Kirata-tikta helps in managing diarrhea, reducing frequency and severity of episodes."
migraine,shankhapushpi,Calms the nervous system and reduces migraine frequency.
Dysentery,Anar,Employed for its effects on dysentery.
tonic,Arjuna,"Arjuna acts as a tonic, promoting overall health and vitality."
gastritis,lavan bhasker churna,Soothes gastric irritation and improves digestion.
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
emollient,Kakamachi,"Kakamachi acts as an emollient, soothing and softening the skin."
arthritis,giloy satya,"Has anti-inflammatory properties, beneficial for arthritis."
antiarthritic,Bahera,Bahera helps in reducing arthritis symptoms and inflammation.
Aphrodisiac,Bilai kand,Employed as an aphrodisiac.
arthritis,ricinus communis,Reduces joint pain and inflammation.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
arthritis,ajwan water,Helps in reducing arthritis pain.
cough,Sharapunkha, Sharapunkha helps in relieving cough and soothing respiratory irritation.
Leucoderma,"Bakuchi, Kushthanashini",Used traditionally for managing leucoderma.
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
antiarthritic,Bahera,Bahera helps in reducing arthritis symptoms and inflammation.
Antibacterial,Anar,Employed for its antibacterial properties.
arthritis,boswellia curcumin,Reduces joint inflammation and improves mobility.
diarrhea,dadimashtaka churna,Alleviates diarrhea symptoms and improves digestion.
gastritis,citrakadhi vati,Reduces acidity and promotes healing of the stomach lining.
arthritis,akik pishti,Provides relief from arthritis pain and stiffness.
diarrhea,fenugreek seed,Helps in reducing loose motions and abdominal discomfort.
Neuralgia tonic,"Manjistha, Kala-meshika",Used traditionally for neuralgia relief.
Astringent tonic,"Gandhini, Pitamulika",Employed as an astringent tonic.
Leprosy,Pipli,Used traditionally for leprosy treatment.
Antibacterial,Chandan,Employed for its antibacterial properties.
diarrhea,bilwa,Helps in controlling loose motions.
migraine,ginger,Alleviates nausea and vomiting during migraines.
diarrhea,fenugreek seed,Helps in reducing loose motions and abdominal discomfort.
anthelmintic,Bahera,"Bahera has anthelmintic properties, helping to expel intestinal worms and parasites."
migraine,drakshasava,Helps in managing migraine attacks.
gastritis,hingvadi vati,Alleviates gastritis symptoms like bloating and discomfort.
arthritis,praval pisti,Reduces joint pain and inflammation in arthritis.
diarrhea,sitopaladi churna,Promotes digestion and reduces inflammation.
cardioprotective,Bahera,"Bahera is cardioprotective, supporting heart health and reducing the risk of cardiovascular diseases."
Anthelmintic,Madana,Employed for expelling intestinal worms.
arthritis,aamvatantak churna,Provides relief from arthritis pain and stiffness.
Emetic,Madana,Employed as an emetic agent.
Antimitotic,Chandan,Used traditionally with purported antimitotic effects.
Headache,Mulaka,Used traditionally for headache relief.
Rejuvenating,"Manjistha, Kala-meshika",Employed for rejuvenation purposes.
Antiviral,Chandan,Employed traditionally as an antiviral agent.
Dysentery,Anar,Employed for its effects on dysentery.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
Emetic,Madana,Employed as an emetic agent.
Sleeplessness,Mulaka,Employed for managing sleeplessness or insomnia.
migraine,Vasant Kusumakar Ras,No description available
diarrhea,lime juice,Helps balance stomach pH and combat pathogens.
migraine,Shankha prakshalana,No description available
Dysentery,Pipli,Employed for its effects on dysentery.
galactagogue,"Methika, Chandrika","Methika and Chandrika are galactagogues, promoting lactation in nursing mothers."
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
Nervine calmative,Madana,Utilized for its calming effects on the nervous system.
Dysentery,Pipli,Employed for its effects on dysentery.
Colic,Bark,Used for the relief of colic pain.
Gastrointestinal disorders,Anar,Utilized for various gastrointestinal disorders.
diarrhea,tribhuvan kirti rasa,Controls diarrhea and improves digestion.
Rheumatism,"Manjistha, Kala-meshika",Employed traditionally for rheumatism relief.
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
gastritis,ashta choornam,Soothes gastric irritation and promotes healing.
diarrhea,mrutyunjay rasa,Reduces loose motions and strengthens digestion.
 analgesic,Bahera,"Bahera has analgesic properties, providing relief from pain."
Piles,Bark,Utilized in traditional medicine for hemorrhoids or piles.
migraine,Jatamansi + Shankhapushpi,Provides relief from migraine symptoms and frequency.
Chronic bronchitis,Kushta,Employed in traditional medicine for chronic bronchitis relief.
gastritis,gandharvahastadi kashaya,Soothes acidity and improves digestion.
Aromatic,"Methika, Chandrika","Methika and Chandrika have aromatic properties, imparting a pleasant aroma and flavor to dishes."
Emetic,Madana,Employed as an emetic agent.
diuretic,Kakamachi,"Kakamachi has diuretic properties, promoting urine production and helping to flush out toxins from the body."
migraine,shankh-vati,Reduces migraine frequency and severity.
arthritis,dashmool oil,Reduces arthritis pain and stiffness.
Deobstruent,"Manjistha, Kala-meshika",Utilized for its deobstruent effects.
Demulcent,Bilai kand,"Employed as a demulcent, soothing agent."
Intelligence promoting,Anar,Employed traditionally for promoting intelligence.
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
Antifungal,Chandan,Used traditionally as an antifungal agent.
ulcers,"Methika, Chandrika","Methika and Chandrika are beneficial for ulcers, soothing irritation and promoting healing."
Gall bladder troubles,Mulaka,Addressing issues related to the gallbladder.
migraine,drakshasava,Helps in managing migraine attacks.
tonic,"Methika, Chandrika","Methika and Chandrika act as tonics, promoting overall health and well-being."
Diaphoretic,Madana,Used traditionally as a diaphoretic agent.
Anti-inflammatory,Chandan,Utilized for its anti-inflammatory properties.
Headache,Mulaka,Used traditionally for headache relief.
migraine,Mukta pishti,No description available
gastritis,gulachyadi kashayam,Has cooling and soothing effects on the stomach.
